08:45:03 AM Apr 30, 2013 > ERROR :HVComand:InterruptedException
08:45:03 AM Apr 30, 2013 > ALARM : HVTelnetClient: NO response from: hatsv9:2006
08:45:03 AM Apr 30, 2013 > INFO : hatsv9:2006: Monitor suspended by:hatsv9:2006
08:45:14 AM Apr 30, 2013 > in reopen(): Time Out: hatsv9:2006
08:45:44 AM Apr 30, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:hatsv9:2006
08:46:15 AM Apr 30, 2013 > INFO : hatsv9:2006: Monitor resumed by:hatsv9:2006
08:46:15 AM Apr 30, 2013 > INFO :HVTelnetClient:Check Monitor -> hatsv9:2006 isAlive()=true
08:46:15 AM Apr 30, 2013 > HVTelnetClient: Reopen connection to: hatsv9:2006
07:47:53 AM May 07, 2013 > ERROR :HVComand:InterruptedException
07:47:53 AM May 07, 2013 > ALARM : HVTelnetClient: NO response from: hatsv9:2006
07:47:53 AM May 07, 2013 > INFO : hatsv9:2006: Monitor suspended by:hatsv9:2006
07:48:03 AM May 07, 2013 > in reopen(): Time Out: hatsv9:2006
07:48:13 AM May 07, 2013 > ERROR :HVComand:InterruptedException
07:48:47 AM May 07, 2013 > in reopen(): Time Out: hatsv9:2006
07:49:29 AM May 07, 2013 > in reopen(): Time Out: hatsv9:2006
07:49:59 AM May 07, 2013 > HVTelnetClient:reopen():Couldn't get I/O for the connection to:hatsv9:2006
07:50:30 AM May 07, 2013 > INFO : hatsv9:2006: Monitor resumed by:hatsv9:2006
07:50:30 AM May 07, 2013 > INFO :HVTelnetClient:Check Monitor -> hatsv9:2006 isAlive()=true
07:50:30 AM May 07, 2013 > HVTelnetClient: Reopen connection to: hatsv9:2006
07:50:30 AM May 07, 2013 > hatsv9:2006:HVON
07:50:30 AM May 07, 2013 > hatsv9:2006:HVON
07:50:30 AM May 07, 2013 > hatsv9:2006:HVON
07:50:30 AM May 07, 2013 > hatsv9:2006:HVON
11:10:43 AM Nov 12, 2013 > Begin initialization...

